date,High_price,Low_price,Close_price,Open_price,group_volume,group_turnover,trading_session,return,y1,y2,target1,target2,group_time
2024/11/8 13:40,4159.6,4140.2,4153.6,4150.2,3626,4512696180,Day_afternoon,0.001688130034244839,1,1,0,0,10
2024/11/8 13:50,4155.8,4134.6,4149.6,4136,3085,3835529100,Day_afternoon,-0.00096302,0,0,1,1,10
2024/11/8 14:00,4139.4,4125.2,4135.2,4138.2,3879,4808191020,Day_afternoon,-0.003470214,0,0,0,0,10
2024/11/8 14:10,4140.8,4131,4138.2,4134.6,2054,2548431240,Day_afternoon,0.0007254788160184766,1,1,0,0,10
2024/11/8 14:20,4135,4114,4135,4123.4,4738,5858976660,Day_afternoon,-0.000773283,0,0,0,0,10
2024/11/8 14:30,4132.8,4111,4123.4,4113.6,4330,5352762180,Day_afternoon,-0.00280532,0,0,0,0,10
2024/11/8 14:40,4118,4101,4113.6,4110.8,5604,6908948100,Day_afternoon,-0.002376679,0,0,1,1,10
2024/11/8 14:50,4128.8,4108.8,4111.8,4112.8,4965,6136616580,Day_afternoon,-0.000437573,0,0,0,0,10
2024/11/8 15:00,4112.2,4112.2,4112.2,4112.2,6,7401960,Day_afternoon,9.728099615724517e-05,1,1,0,0,10
2024/11/11 9:20,4080,4080,4080,4080,0,0,Day_morning,-0.007830358,0,0,1,1,10
2024/11/11 9:30,4099.8,4073.2,4080,4093.6,13786,16902411360,Day_morning,0,0,0,0,0,10
2024/11/11 9:40,4102.6,4084.8,4094.2,4087.6,6105,7499335800,Day_morning,0.0034803921568626883,1,1,1,1,10
2024/11/11 9:50,4098.4,4087.2,4087.2,4091.4,3491,4286003460,Day_morning,-0.001709736,0,0,1,1,10
2024/11/11 10:00,4109.8,4091,4091.6,4093.4,4914,6043669680,Day_morning,0.001076531610882725,1,1,0,0,10
2024/11/11 10:10,4103.2,4084.6,4093.8,4084.6,4172,5124265560,Day_morning,0.0005376869684232677,1,1,0,0,10
2024/11/11 10:20,4085,4060,4085,4063.2,9275,11323972260,Day_morning,-0.002149592,0,0,0,0,10
2024/11/11 10:30,4069,4052,4063.2,4057.2,6037,7355304660,Day_morning,-0.005336597,0,0,1,1,10
2024/11/11 10:40,4078.6,4055.2,4057.4,4075,4522,5520098700,Day_morning,-0.001427446,0,0,1,1,10
2024/11/11 10:50,4085.6,4074,4075,4085.2,3339,4087409340,Day_morning,0.004337753240991837,1,1,1,1,10
2024/11/11 11:00,4097,4084,4085.2,4093.6,4297,5274044820,Day_morning,0.0025030674846624468,1,1,0,0,10
2024/11/11 11:10,4098,4085.6,4093.6,4089.6,3181,3904758420,Day_morning,0.0020562028786841324,1,1,1,1,10
2024/11/11 11:20,4108.6,4087.6,4089.6,4107.4,2999,3687652740,Day_morning,-0.000977135,0,0,1,1,10
2024/11/11 11:30,4107.8,4107.8,4107.8,4107.8,2,2464560,Day_morning,0.004450312989045413,1,1,0,0,10
2024/11/11 13:30,4126.6,4112.4,4123.8,4117.4,3375,4171969920,Day_afternoon,0.0038950289692780693,1,1,1,1,10
2024/11/11 13:40,4128.8,4109.2,4117.4,4125.2,4124,5095324200,Day_afternoon,-0.001551967,0,0,0,0,10
